idx,true,prior_match,cond_match,ratio_match,prior_mismatch,cond_mismatch,ratio_mismatch
544,mismatch,8.4128,4.1532,0.4937,3.0643,3.0809,1.0054
545,mismatch,8.857,3.7875,0.4276,3.1106,2.3062,0.7414
546,mismatch,9.3871,5.1127,0.5446,3.2053,2.9972,0.9351
547,mismatch,9.4351,4.5705,0.4844,3.4041,3.5263,1.0359
548,mismatch,11.7769,4.8458,0.4115,4.4802,2.4426,0.5452
549,mismatch,6.522,4.5691,0.7006,2.8856,2.5281,0.8761
550,mismatch,6.101,3.9788,0.6522,2.8443,2.4943,0.877
551,match,4.4,2.9049,0.6602,2.8097,2.3432,0.834
552,match,3.6481,2.9736,0.8151,3.879,5.6601,1.4592
553,mismatch,8.3137,5.0835,0.6115,2.5718,2.6493,1.0301
554,mismatch,7.3064,2.926,0.4005,3.0779,2.5156,0.8173
555,mismatch,7.5463,5.4053,0.7163,2.8927,2.3195,0.8018
556,mismatch,6.5549,3.7863,0.5776,2.9324,2.5835,0.881
557,match,3.8508,3.409,0.8853,3.4792,3.7233,1.0702
558,mismatch,8.8773,6.3707,0.7176,2.9489,2.8173,0.9554
559,mismatch,8.8598,4.8629,0.5489,2.9994,3.0484,1.0163
560,mismatch,8.6598,7.5396,0.8706,2.9646,3.9178,1.3215
561,mismatch,8.169,8.733,1.069,2.7821,3.6923,1.3271
562,match,3.4207,3.839,1.1223,4.2213,4.7571,1.1269
563,mismatch,7.708,7.8704,1.0211,2.404,3.4767,1.4462
564,mismatch,8.1378,5.2655,0.647,2.7969,2.9593,1.0581
565,mismatch,8.2771,3.5047,0.4234,2.8198,2.3827,0.845
566,mismatch,6.2566,4.1274,0.6597,3.5927,2.5043,0.6971
567,mismatch,5.6925,2.5834,0.4538,2.7659,2.5336,0.916
568,mismatch,7.0283,4.5327,0.6449,2.4018,2.7326,1.1377
569,match,5.2344,5.5112,1.0529,2.7153,3.9413,1.4515
570,mismatch,8.165,3.599,0.4408,2.9344,3.2699,1.1143
571,mismatch,9.7628,5.0655,0.5189,3.0184,2.8811,0.9545
572,mismatch,6.5628,3.3712,0.5137,2.7624,2.5627,0.9277
573,mismatch,7.9715,3.8718,0.4857,2.8615,2.7054,0.9454
574,mismatch,5.8254,3.903,0.67,2.831,2.2036,0.7784
575,mismatch,9.395,5.1039,0.5433,2.9534,2.3143,0.7836
576,match,3.3823,4.5417,1.3428,2.866,2.695,0.9404
577,mismatch,7.9902,4.0414,0.5058,3.0323,2.7569,0.9092
578,match,3.8134,2.4628,0.6458,8.4527,8.3201,0.9843
579,mismatch,6.8325,4.3408,0.6353,2.7295,2.4081,0.8822
580,mismatch,7.6142,5.2942,0.6953,2.89,2.5822,0.8935
581,mismatch,8.4689,3.5848,0.4233,2.9869,2.1182,0.7092
582,mismatch,7.9209,6.036,0.762,3.0772,3.4157,1.11
583,mismatch,8.9788,2.8977,0.3227,3.0105,2.5229,0.838
584,mismatch,9.1727,5.2574,0.5732,2.9449,3.1587,1.0726
585,mismatch,7.8269,5.8268,0.7445,3.3758,3.257,0.9648
586,match,3.8486,2.7749,0.721,2.7742,2.6758,0.9645
587,mismatch,6.1312,2.6919,0.439,2.5894,2.4444,0.944
588,mismatch,5.946,4.1636,0.7002,3.1042,3.0856,0.994
589,mismatch,6.1787,4.4467,0.7197,2.9015,2.2956,0.7912
590,mismatch,6.3076,5.2444,0.8314,3.0472,2.3901,0.7844
591,match,3.0222,2.9958,0.9913,6.512,3.6285,0.5572
592,mismatch,9.7908,3.9758,0.4061,3.2135,2.2285,0.6935
593,mismatch,7.6283,2.7362,0.3587,2.793,2.3388,0.8374
594,mismatch,11.0057,3.6028,0.3274,3.0793,3.068,0.9963
595,mismatch,7.8346,2.8116,0.3589,3.1949,2.6354,0.8249
596,mismatch,8.4652,4.6207,0.5458,2.6645,2.083,0.7818
597,mismatch,7.3271,4.9546,0.6762,2.9978,2.1103,0.7039
598,mismatch,6.7621,4.7221,0.6983,2.7785,2.5884,0.9316
599,mismatch,13.2119,4.5364,0.3434,5.1252,2.0098,0.3921
600,match,3.9362,2.9211,0.7421,3.4683,2.2905,0.6604
601,mismatch,7.7073,3.8144,0.4949,3.0443,2.209,0.7256
602,match,5.3744,4.1483,0.7719,4.0958,3.7677,0.9199
603,mismatch,7.8141,3.8355,0.4908,2.8827,2.0073,0.6963
604,mismatch,8.9342,5.6728,0.635,2.8475,2.7212,0.9556
605,mismatch,8.8158,6.3639,0.7219,3.2619,3.003,0.9206
606,mismatch,5.6798,5.9064,1.0399,2.7957,3.012,1.0774
607,match,4.8211,3.9828,0.8261,2.869,4.5491,1.5856
608,mismatch,9.3798,3.7179,0.3964,3.3196,2.3374,0.7041
609,mismatch,7.5043,5.2888,0.7048,2.7477,3.2399,1.1791
610,mismatch,9.1496,7.3425,0.8025,3.0036,3.2317,1.0759
611,mismatch,7.3437,4.2595,0.58,2.9825,2.7391,0.9184
612,mismatch,8.1874,5.1959,0.6346,2.8831,2.4473,0.8488
613,mismatch,8.721,2.5235,0.2894,3.07,2.3596,0.7686
614,mismatch,8.9033,4.1781,0.4693,2.9617,3.0329,1.0241
615,mismatch,8.4226,4.0413,0.4798,3.0745,2.5437,0.8273
616,mismatch,9.1256,6.8891,0.7549,3.6267,3.2657,0.9005
617,mismatch,6.4774,3.5328,0.5454,2.6487,3.7137,1.4021
618,mismatch,10.3749,6.2341,0.6009,3.3544,2.6568,0.792
619,match,3.9479,4.5179,1.1444,3.3517,2.7552,0.822
620,mismatch,6.8453,3.4444,0.5032,2.983,2.3352,0.7828
621,mismatch,8.9309,4.4777,0.5014,3.0711,3.0373,0.989
622,mismatch,9.7699,3.8319,0.3922,3.022,2.57,0.8504
623,match,4.507,2.4905,0.5526,2.7067,10.4776,3.871
624,mismatch,8.8645,4.6929,0.5294,2.951,2.0548,0.6963
625,mismatch,10.8133,2.6069,0.2411,3.1718,2.3403,0.7379
626,mismatch,9.7305,4.5748,0.4702,3.2029,3.5601,1.1115
627,mismatch,7.0612,3.6903,0.5226,2.8899,1.9509,0.6751
628,mismatch,6.04,3.2387,0.5362,2.7616,2.8766,1.0416
629,match,4.4904,2.7195,0.6056,2.9107,2.8253,0.9706
630,mismatch,9.4933,6.122,0.6449,3.1038,2.8791,0.9276
631,mismatch,6.394,2.9579,0.4626,2.988,2.4888,0.8329
632,mismatch,7.7368,4.4029,0.5691,3.133,2.5776,0.8227
633,match,3.8508,3.409,0.8853,3.4792,3.7233,1.0702
634,mismatch,8.4005,4.144,0.4933,2.8488,3.0624,1.075
635,match,3.1528,5.2521,1.6658,3.5502,23.8005,6.7039
636,mismatch,8.2512,4.4139,0.5349,2.8762,2.5488,0.8862
637,match,3.5548,2.6713,0.7515,2.9343,4.3179,1.4715
638,match,3.3259,2.3827,0.7164,3.1101,5.0833,1.6345
639,mismatch,9.0014,4.6092,0.5121,2.9373,3.2924,1.1209
640,match,2.9577,2.5173,0.8511,4.4051,10.7405,2.4382
641,mismatch,9.9031,9.2606,0.9351,3.1657,3.7212,1.1755
642,mismatch,7.03,3.4124,0.4854,2.8601,2.1323,0.7455
643,mismatch,9.81,8.809,0.898,3.0162,3.275,1.0858
644,mismatch,7.4511,3.4182,0.4588,3.0533,1.9841,0.6498
645,match,3.4207,3.839,1.1223,4.2213,4.7571,1.1269
646,mismatch,6.2103,4.2113,0.6781,3.0673,3.3102,1.0792
647,mismatch,5.7739,2.2027,0.3815,2.7133,2.9542,1.0888
648,mismatch,5.5518,2.2407,0.4036,3.6837,2.243,0.6089
649,match,4.0483,3.3079,0.8171,4.6742,2.2457,0.4804
650,match,4.1756,2.1997,0.5268,3.1119,2.5298,0.8129
651,match,3.7534,5.7543,1.5331,2.9316,2.6051,0.8886
652,mismatch,8.7717,4.1129,0.4689,2.8984,2.3201,0.8005
653,mismatch,8.2071,4.097,0.4992,2.8759,2.3804,0.8277
654,mismatch,8.4833,3.9898,0.4703,2.9704,3.2743,1.1023
655,mismatch,8.1059,5.3893,0.6649,2.8901,2.9578,1.0234
656,mismatch,9.532,2.5855,0.2712,3.9877,3.4504,0.8653
657,match,4.2764,4.5882,1.0729,2.7662,2.3046,0.8331
658,mismatch,7.9342,4.481,0.5648,3.1514,2.6108,0.8285
659,mismatch,9.32,4.9167,0.5275,3.2428,2.9756,0.9176
660,match,3.1733,2.4908,0.7849,3.9078,1.9291,0.4937
661,mismatch,8.3608,6.2688,0.7498,2.7146,2.5133,0.9259
662,mismatch,8.5517,2.7479,0.3213,2.8097,2.2003,0.7831
663,mismatch,8.758,4.0471,0.4621,2.9786,3.3746,1.133
664,mismatch,6.8667,3.6472,0.5311,2.8851,2.8673,0.9938
665,mismatch,7.8709,4.3681,0.555,2.856,2.3962,0.839
666,mismatch,7.8634,5.6162,0.7142,2.9049,2.7107,0.9331
667,mismatch,7.4642,3.3205,0.4449,2.9906,3.577,1.1961
668,mismatch,8.3822,4.9233,0.5873,2.8303,2.3308,0.8235
669,mismatch,6.2182,4.7129,0.7579,2.7105,2.4602,0.9077
670,mismatch,7.6296,4.1931,0.5496,3.2872,2.7269,0.8295
671,mismatch,8.564,6.2007,0.724,3.1458,3.0712,0.9763
672,mismatch,9.9506,2.922,0.2936,3.238,1.7856,0.5514
673,match,4.1901,3.9423,0.9409,3.3034,4.5907,1.3897
674,mismatch,7.1262,3.1689,0.4447,2.6578,2.3995,0.9028
675,mismatch,8.8934,5.3907,0.6062,2.6878,2.5702,0.9562
676,mismatch,7.1833,4.6368,0.6455,2.9463,2.8037,0.9516
677,match,4.4904,2.7195,0.6056,2.9107,2.8253,0.9706
678,mismatch,8.8866,3.4148,0.3843,3.3066,2.8839,0.8721
679,match,3.1528,5.2521,1.6658,3.5502,23.8005,6.7039
680,mismatch,7.8893,4.4664,0.5661,2.8801,2.3443,0.8139
681,match,3.3241,2.3447,0.7054,6.9176,1.8318,0.2648
682,mismatch,6.8521,5.3731,0.7842,2.9784,2.4624,0.8267
683,mismatch,8.838,4.2755,0.4838,3.19,3.1563,0.9894
684,match,4.1756,2.1997,0.5268,3.1119,2.5298,0.8129
685,mismatch,7.628,4.2964,0.5632,2.9268,2.3979,0.8193
686,mismatch,10.3025,3.7511,0.3641,2.9423,2.6272,0.8929
687,mismatch,9.791,5.036,0.5144,3.0522,2.524,0.8269
688,mismatch,8.2279,4.6914,0.5702,2.9274,2.5172,0.8599
689,mismatch,7.8618,4.2966,0.5465,2.8465,2.5813,0.9068
690,mismatch,7.0276,6.3159,0.8987,2.9432,4.0968,1.392
691,match,4.4904,2.7195,0.6056,2.9107,2.8253,0.9706
692,mismatch,6.419,4.2494,0.662,2.9187,3.3907,1.1617
693,match,3.1528,5.2521,1.6658,3.5502,23.8005,6.7039
694,mismatch,8.0111,3.5684,0.4454,3.7512,2.2062,0.5881
695,mismatch,9.5936,5.524,0.5758,3.0271,3.055,1.0092
696,mismatch,8.8209,2.9755,0.3373,2.998,2.3923,0.798
697,match,3.3241,2.3447,0.7054,6.9176,1.8318,0.2648
698,mismatch,9.6525,7.8794,0.8163,3.056,3.7049,1.2123
699,match,3.3652,2.4342,0.7233,7.8277,4.0956,0.5232
700,match,4.507,2.4905,0.5526,2.7067,10.4776,3.871
701,mismatch,11.1397,3.0834,0.2768,3.0432,2.7398,0.9003
702,match,3.1528,5.2521,1.6658,3.5502,23.8005,6.7039
703,mismatch,6.9133,2.6723,0.3865,2.8932,2.3123,0.7992
704,mismatch,7.8554,4.8437,0.6166,2.8128,2.169,0.7711
705,mismatch,8.9274,4.3837,0.491,2.9036,2.5057,0.863
706,match,4.3238,2.8662,0.6629,2.9011,2.4011,0.8276
707,match,4.3238,2.8662,0.6629,2.9011,2.4011,0.8276
708,mismatch,10.0262,3.6499,0.364,3.073,2.3733,0.7723
709,match,3.9479,4.5179,1.1444,3.3517,2.7552,0.822
710,mismatch,7.1299,3.5984,0.5047,2.9397,2.435,0.8283
711,mismatch,6.0113,4.4617,0.7422,3.4925,3.0481,0.8727
712,mismatch,6.5255,2.8793,0.4412,2.8052,2.0342,0.7251
713,mismatch,8.1041,4.5678,0.5636,3.0155,2.3528,0.7802
714,mismatch,7.9173,2.6177,0.3306,2.9224,2.2563,0.772
715,mismatch,9.817,5.2186,0.5316,2.9987,2.5621,0.8544
716,mismatch,9.3132,5.8633,0.6296,3.0164,3.1579,1.0469
717,mismatch,4.9177,3.3253,0.6762,2.9362,3.0219,1.0292
718,mismatch,7.7173,4.4432,0.5757,3.1055,2.6387,0.8497
